"","company","RD","OR","NI","TA","TE","Patent","Industry","Frequency"
"1729","TENERGY.AT",1442,248188.75,29878.5,1477371.75,359999.5,44732,"Low",1
"1746","KYSA.AT",6.55425,17660.97075,-310.014,21692.86075,3695.917,631.65275,"Low",1
"1748","KMOL.AT",61.31125,76260.082,-1611.3535,132525.43925,32745.63625,425.119,"Low",1
"1764","ALK-B.CO",394500,2849750,71500,4718500,3010250,307250,"High",1
"1765","CHR.CO",63475,991850,199625,1705775,717800,208450,"High",1
"1766","COLO-B.CO",541250,15141750,2921000,11410750,5536000,551750,"High",1
"1767","DEMANT.CO",849250,12448250,1618000,16023750,6984250,389500,"High",1
"1768","GN.CO",721250,9149500,1065500,12191250,5315750,2156500,"High",1
"1769","LUN.CO",3011500,16394750,512000,21075500,11227750,4180750,"High",1
"1770","NOVO-B.CO",14247500,110808500,37385750,100615500,48473000,3335500,"High",1
"1771","NZYM-B.CO",1878500,14266250,3054500,18630000,11497750,1370500,"High",1
"1772","OSSR.CO",25448.25,546319.75,59917.75,776601.5,490688.25,43708.5,"High",1
"1773","BAVA.CO",435671,974517.75,-22639.5,2756642,2011660.25,64175,"High",1
"1775","VELO.CO",3662,20239.5,-12785.25,42682.75,8313,97,"High",1
"1777","BIOPOR.CO",15054.75,23068.5,-25955.75,57859.75,50260.25,1380.25,"High",1
"1782","SIM.CO",61965.75,324972,61761,199335,112007.75,10741,"High",1
"1787","BO.CO",379850,2807350,-46425,3012250,1735475,338150,"High",1
"1799","VWS.CO",212750,9686750,807000,10322000,3073250,567000,"Low",1
"1852","ARJO-B.ST",131500,7957000,302750,13519000,7846500,1247250,"High",0
"1854","AZN.ST",5523250,23066250,2870000,61646750,15193000,24594750,"High",0
"1855","EKTA-B.ST",1032500,11024250,478250,21008000,6947250,1268750,"High",0
"1856","GETI-B.ST",605250,24768000,746750,48475000,19574000,3976250,"High",0
"1857","SOBI.ST",822273.5,6020482.5,1108238.75,11593772.75,6441448.5,5655848.5,"High",0
"1862","BIOT.ST",55156.75,734372.25,118106.25,781108,605171.5,42368.25,"High",0
"1870","KARO.ST",11296.5,672267.75,172454,3360467.5,1569441.75,1475441.75,"High",0
"1874","ORX.ST",151475,694725,-4975,1082350,346400,129650,"High",0
"1875","PROB.ST",34206.75,468954.25,74057,939500.75,748110,358944,"High",0
"1877","RAY-B.ST",111679,535343,104441.75,805557.5,504395.75,284568,"High",0
"1880","XVIVO.ST",38789,148658,6394.25,419862.75,386539.75,2837.75,"High",0
"1884","BONEX.ST",45983,98069.5,-118754.75,305816.75,195987.25,1456,"High",0
"1888","ELOS-B.ST",15572,569569,21516.25,893523.5,393725.5,28146.5,"High",0
"1895","MOB.ST",16857.25,374485.75,22300.25,1026125.25,515218.75,614307.75,"High",0
"1898","ORTI-A.ST",11116,64474,-9791.25,43882.75,8830.25,87,"High",0
"1899","ORTI-B.ST",11116,64474,-9791.25,43882.75,8830.25,87,"High",0
"1901","LIFCO-B.ST",102500,9718500,1047750,11050000,5208000,2079000,"High",0
"1902","ERIC-A.ST",33652750,220863000,-6181000,274289000,116255000,6171250,"High",0
"1903","ERIC-B.ST",33652750,220863000,-6181000,274289000,116255000,6171250,"High",0
"1904","HEXA-B.ST",355300,3350450,616825,8410925,4641725,1348025,"High",0
"1908","ENEA.ST",104027.75,600374.25,101672.75,1153777.5,640461.5,110983.75,"High",0
"1912","HMS.ST",131174.25,1050763,118663.5,1313021.5,667532,154444.5,"High",0
"1917","NETI-B.ST",60721.25,439475.75,-4392.5,686451.5,533633,21332.75,"High",0
"1922","TOBII.ST",342525,1100425,-110275,1297375,955225,135725,"High",0
