"","company","SER","RND","ROA","Size","Frequency","Industry","Patent"
"58","LWB.L",0.365687858695047,0.0127400182871076,-0.0259096227781802,448675,0,"Low",20200
"59","NXR.L",0.264622546043311,0.0137957835422132,0.0400728597449909,247050,0,"Low",18475
"60","TON.L",0.673753348889465,0.0191175338669951,0.0850031482647505,20249.25,0,"Low",348.5
"61","FAN.L",0.570393973443788,0.0139817998217295,0.0501619370758791,272328,0,"Low",100676.5
"62","FDEV.L",0.82639457336303,0.301597455136406,0.0912730895407791,39398.25,0,"High",19714.75
"63","BC94.L",0.704154894532843,0.0705825668294606,0.110300995541647,286365794750,0,"High",5547049000
"64","BOE.L",0.0220874806218397,0.0342307312432747,0.0703360812892695,103531500,0,"High",2799750
"65","CHG.L",0.524198381780042,0.130852011789705,-0.033151033862751,667400,0,"High",61475
"66","MGGT.L",0.486120124017593,0.0365540663158168,0.0424945665049494,4854150,0,"High",725025
"67","RR.L",0.0625383200490497,0.0566637365609575,-0.0275718558980362,26911500,0,"High",1716000
"68","MSYS.L",0.90181412908951,1.56579881124096,-0.51350287325863,5858.679,0,"High",87.14925
"69","OXIG.L",0.343611291945316,0.0779551237566505,0.0271645854293662,422425,0,"High",84000
"70","GHH.L",0.661856340547055,0.0715968051945465,0.0541099836357017,141466.5,0,"High",9533.5
"71","XAR.L",0.870680859584829,0.133553715265789,0.0412978319671219,157308.5,0,"High",293
"72","RDSB.L",0.476672681856787,0.0033679806125111,0.0275036062252403,389430750,0,"Low",8910250
"73","SVT.L",0.104377637727566,0.00180046754076462,0.0295764926850794,8838100,0,"Low",76650
"74","BYOT.L",0.733927233348564,0.0847608971674039,-0.114975415844662,3594.23575,0,"High",342.82975
"75","HAYD.L",0.698925195320931,0.315214994487321,-0.356239478568654,11583.5,0,"High",582.5
"76","PHC.L",0.83348429232016,0.600573355817875,-0.509812334143745,15732.75,0,"High",426.75
"77","SCPA.L",0.430784007683996,0.0125260960334029,0.0680753992075879,208225,0,"High",6650
"78","VRS.L",0.695531425140112,0.0525991370454078,-0.152321857485989,9992,0,"High",660.75
"79","VCT.L",0.857528359402329,0.0527385159010601,0.187946629353855,500275,0,"High",12525
"80","GHH.L",0.661856340547055,0.0715968051945465,0.0541099836357017,141466.5,0,"High",9533.5
"81","MSYS.L",0.90181412908951,1.56579881124096,-0.51350287325863,5858.679,0,"High",87.14925
"82","OXIG.L",0.343611291945316,0.0779551237566505,0.0271645854293662,422425,0,"High",84000
"83","XAR.L",0.870680859584829,0.133553715265789,0.0412978319671219,157308.5,0,"High",293
"84","XPP.L",0.673195720958264,0.0530428999002328,0.149917131233991,165925,0,"High",8350
"85","BAGR.L",0.324336859009857,0.0223679198644958,-0.0735477350758666,36116,0,"High",3326.25
"86","SAE.L",0.545402017579982,0.171764705882353,-0.0703975438906652,115955.75,0,"Low",24197.5
"87","DVO.L",0.31054699304926,0.0266911165444173,0.0271381081897854,413625,0,"Low",2575
"88","FIF.L",0.512389297985999,0.00663376173411005,0.0317616777547249,198336.5,0,"Low",10518.5
"89","TATE.L",0.451787963949995,0.0130918397480067,0.0691927512355848,2579750,0,"Low",178250
"90","ULVR.L",0.249461631388203,0.0179559715590321,0.11176619920514,57117000,0,"Low",10581750
"91","SCL.L",0.519023764538663,0.0284099889363047,0.00352914666065764,72113750,0,"Low",12121250
"92","VLS.L",0.879986769117295,10.8335714285714,-0.417050349591858,65755.25,0,"Low",17677.75
"93","MTMY.L",0.39556477211318,0.0320035436449711,-0.111141716378365,190599,0,"Low",29498
"94","TAP.L",0.534091675218925,0.0687482142520454,0.102123332309559,133493,0,"Low",19975.75
"95","XLM.L",0.792023784598635,0.0211856656599498,0.155432352079059,149256.25,0,"Low",54241.75
"96","AFX.F",0.71586867835647,0.117582430962723,0.0743162240972607,1418045,1,"High",26924.25
"97","DRW8.F",0.435872571382618,0.0909671666784466,0.0263999450380606,2347078.75,1,"High",32663.5
