"","company","RD","OR","NI","TA","TE","Patent","Industry","Frequency"
"73","MTPH.L",9012.5,4458.5,-15338.75,47599.5,36052.75,17463.25,"High",0
"74","MTFB.L",19984.735,NA,-26908.92475,27824.049,5424.49425,6195.874,"High",0
"75","ONC.L",807.5,557.5,-5454.75,8494,6118.67075,NA,"High",0
"76","OPTI.L",NA,255.42025,-647.58375,6433.56225,5697.55725,2130.5905,"High",0
"77","OBD.L",477.5,1040.5,-2123,13095,12089.5,NA,"High",0
"78","OXB.L",23974.5,37013.25,-7784,71648.75,16099,821.75,"High",0
"79","PEBI.L",NA,-88.4805,-346.11275,2249.3235,2214.42375,NA,"High",0
"80","PVG.L",NA,2452.25,-279.75,3458.25,1098.5,318.5,"High",0
"81","PRM.L",NA,2763.75,-2202,8233.25,-1930,NA,"High",0
"82","REDX.L",NA,NA,-7753.25,15289.75,7377.75,NA,"High",0
"83","RENE.L",NA,727.25,-13362,47355.5,42655,NA,"High",0
"84","SALV.L",664.5,NA,-9823.75,3106.75,1073,NA,"High",0
"85","SAR.L",NA,NA,-843.166,2052.7185,1926.22275,NA,"High",0
"86","SCLP.L",2437.1935,NA,-3184.34775,9898.5225,9296.6395,NA,"High",0
"87","STX.L",4081,NA,-15006.25,35898.75,27847.5,18644.75,"High",0
"88","SHRS.L",NA,6318.75,5181,96267.5,77094,NA,"High",0
"89","SLN.L",NA,NA,-8778.5,52807.75,50504,35.75,"High",0
"90","SUMM.L",18798.75,8195.25,-15005.75,34000.5,8856,6302.75,"High",0
"91","SNG.L",2266.5,NA,-1653,7073.5,6154.5,54.25,"High",0
"92","TRX.L",2538.409,1930.7955,-9221.90875,23808.25,21144,NA,"High",0
"93","TILS.L",4511.75,NA,-7151.25,5392,2636.5,NA,"High",0
"94","VAL.L",1859.48525,NA,-3261.51325,4660.883,3185.65525,1246.85175,"High",0
"95","VEC.L",54674.99625,137291.65625,-52924.99725,617900,496800,276075,"High",0
"96","VRP.L",13700.75,NA,-13228,54437.0985,45679.4285,1948.439,"High",0
"97","VERS.L",8155.75,NA,-13911,52381.75,39374.25,NA,"High",0
"98","ACC.L",NA,8186.5,-2373.25,16310.25,4213.5,3751.75,"High",0
"99","ACSO.L",7798.25,111964,6521,180563.25,124522.75,34094.5,"High",0
"100","ACT.L",1660.1765,714.5225,-5626.368,15494.6945,14784.2005,931.97875,"High",0
"101","AD4.L",NA,NA,-1560.25,12926.5,5061.25,5762.75,"High",0
"102","ARC.L",NA,2274.7595,536.62875,4403.648,2649.534,NA,"High",0
"103","ATQT.L",NA,9309.75,-2318.75,17391.75,12486,4734.5,"High",0
"104","AVV.L",93884,533482.5,49940.25,1069651.5,686094.25,361025.75,"High",0
"105","BSD.L",NA,257111.5,-6010,393027.75,176702.75,17119.5,"High",0
"106","BGO.L",NA,3673.996,-3881.15,16330.58025,13739.4165,6280.439,"High",0
"107","BST.L",NA,977.5,-2992.5,2325.75,1278.75,693.5,"High",0
"108","BLTG.L",NA,22652.5,-6282.5,108642.5,69348.5,24511.5,"High",0
"109","PRSM.L",NA,23851.5,-10678.5,33189.5,2284.5,NA,"High",0
"110","BRY.L",4064,24707.5,-3476.25,43854.25,26956.25,11998.25,"High",0
"111","BBSN.L",NA,15646.25,-18278,21284.75,11705.75,10069.25,"High",0
"112","CTP.L",NA,16897,347,36846,13976,18459,"High",0
"113","CNIC.L",NA,15734.25,811.75,45789.5,19654.25,11881.75,"High",0
"114","CER.L",NA,13941.6105,1579.18275,21308.622,12355.19075,5252.5755,"High",0
"115","CLSU.L",1252.75,15063.5,-2049.75,10787,9192,2615,"High",0
"116","CBUY.L",NA,1518.7855,-3723.0335,1926.242,-2817.2185,6.34,"High",0
"117","CALL.L",NA,5929.75,-2748.25,6093,4708.5,947.25,"High",0
"118","CCC.L",NA,3612238.25,82282,1428584,431498,42601.75,"High",0
"119","CNS.L",NA,8898.5,-10510.75,26450,20295.25,7535,"High",0
